chapter_name,pdf,audios,videos,pdf_progress,audio_progress,video_progress,book_id,order_number,start_page,end_page
مدخل إلى فقه الحديث 2,chapters/مدخل إلى فقه الحديث 2.pdf,audios/مدخل إلى فقه الحديث 2.mp3,https://youtu.be/YOxEWcMgtMI?si=KMUChePIqQZJaOYa,24,57,57,5,2,21,44
مدخل إلى فقه الحديث 3,chapters/مدخل إلى فقه الحديث 3.pdf,audios/مدخل إلى فقه الحديث 3.mp3,https://youtu.be/B21miQdZIoc?si=h1uqrLORXs53hQpj,27,64,64,5,3,45,71
مصادر التلقي 1,chapters/مصادر التلقي 1.pdf,audios/مصادر التلقي 1.mp3,https://youtu.be/Al6Ucu-9ANI?si=-zW_0AlpMvYS62bb,26,75,75,6,1,1,26
مصادر التلقي 2,chapters/مصادر التلقي 2.pdf,audios/مصادر التلقي 2.mp3,https://www.youtube.com/channel/UCKEZl-LJ-NIfJbLEV_At1pw,25,71,71,6,2,27,51
مصادر التلقي 3,chapters/مصادر التلقي 3.pdf,audios/مصادر التلقي 3.mp3,https://youtu.be/PyCSas3NCew?si=_5dQ-pMYJBYnjqmj,25,57,57,6,3,52,76
مصادر التلقي 4,chapters/مصادر التلقي 4.pdf,audios/مصادر التلقي 4.mp3,https://youtu.be/vyPuuE9hWQM?si=drxuJeIZrSyfL6ow,32,70,70,6,4,77,108
مصادر التلقي 5,chapters/مصادر التلقي 5.pdf,audios/مصادر التلقي 5.mp3,https://youtu.be/j_5OqSI4nlM?si=QXtxb4gfaqX5tuz2,13,29,29,6,5,109,121
مصادر التلقي 6,chapters/مصادر التلقي 6.pdf,audios/مصادر التلقي 6.mp3,https://youtu.be/8fR0R5DZyNk?si=iJgpb176TLLpHnR_,39,79,79,6,6,122,160
مصادر التلقي 7,chapters/مصادر التلقي 7.pdf,audios/مصادر التلقي 7.mp3,https://youtu.be/u0DFCRPLOtg?si=CHjz2r_pPIwFOyAy,29,79,79,6,7,161,189
السيرة النبوية للمصلحين 1,chapters/السيرة النبوية للمصلحين 1.pdf,audios/السيرة النبوية للمصلحين 1.mp3,https://youtu.be/bVfbrn_bHaM?si=SvjGwl31NYGjaVom,28,57,57,7,1,1,28
السيرة النبوية للمصلحين 2,chapters/السيرة النبوية للمصلحين 2.pdf,audios/السيرة النبوية للمصلحين 2.mp3,https://youtu.be/S0Lr3fTEJBI?si=IDsLrl1HyRfs76HR,14,34,34,7,2,29,42
السيرة النبوية للمصلحين 3,chapters/السيرة النبوية للمصلحين 3.pdf,audios/السيرة النبوية للمصلحين 3.mp3,https://youtu.be/2qmWjJCgz6I?si=zlJXxbweEOkc_HSZ,15,30,30,7,3,43,57
السيرة النبوية للمصلحين 4,chapters/السيرة النبوية للمصلحين 4.pdf,audios/السيرة النبوية للمصلحين 4.mp3,https://youtu.be/Jw95vEKf-zE?si=iasdJs5AdT7m7hBi,21,44,44,7,4,58,78
